"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ET000063500","1987-05-01","6.083","37.633","1290.0","ARBA MINCH, ET","  307",",,Q","  182",",,Q"
"ET000063500","1987-05-02","6.083","37.633","1290.0","ARBA MINCH, ET","  312",",,Q","  182",",,Q"
"ET000063500","1987-05-03","6.083","37.633","1290.0","ARBA MINCH, ET","  310",",,Q","  205",",,Q"
"ET000063500","1987-05-04","6.083","37.633","1290.0","ARBA MINCH, ET","  320",",,Q","  186",",,Q"
"ET000063500","1987-05-05","6.083","37.633","1290.0","ARBA MINCH, ET","  316",",,Q","  214",",,Q"
"ET000063500","1987-05-06","6.083","37.633","1290.0","ARBA MINCH, ET","  290",",,Q","  180",",,Q"
"ET000063500","1987-05-07","6.083","37.633","1290.0","ARBA MINCH, ET","  290",",,Q","  170",",,Q"
"ET000063500","1987-05-08","6.083","37.633","1290.0","ARBA MINCH, ET","  296",",,Q","  190",",,Q"
"ET000063500","1987-05-09","6.083","37.633","1290.0","ARBA MINCH, ET","  283",",,Q","  200",",,Q"
"ET000063500","1987-05-10","6.083","37.633","1290.0","ARBA MINCH, ET","  286",",,Q","  184",",,Q"
"ET000063500","1987-05-11","6.083","37.633","1290.0","ARBA MINCH, ET","  284",",,Q","  185",",,Q"
"ET000063500","1987-05-12","6.083","37.633","1290.0","ARBA MINCH, ET","  265",",,Q","  170",",,Q"
"ET000063500","1987-05-13","6.083","37.633","1290.0","ARBA MINCH, ET","  290",",,Q","  176",",,Q"
"ET000063500","1987-05-14","6.083","37.633","1290.0","ARBA MINCH, ET","  295",",,Q","  184",",,Q"
"ET000063500","1987-05-15","6.083","37.633","1290.0","ARBA MINCH, ET","  290",",,Q","  190",",,Q"
"ET000063500","1987-05-16","6.083","37.633","1290.0","ARBA MINCH, ET","  288",",,Q","  166",",,Q"
"ET000063500","1987-05-17","6.083","37.633","1290.0","ARBA MINCH, ET","  290",",,Q","  180",",,Q"
"ET000063500","1987-05-18","6.083","37.633","1290.0","ARBA MINCH, ET","  294",",,Q","  196",",,Q"
"ET000063500","1987-05-19","6.083","37.633","1290.0","ARBA MINCH, ET","  306",",,Q","  195",",,Q"
"ET000063500","1987-05-20","6.083","37.633","1290.0","ARBA MINCH, ET","  290",",,Q","  195",",,Q"
"ET000063500","1987-05-21","6.083","37.633","1290.0","ARBA MINCH, ET","  282",",,Q","  182",",,Q"
"ET000063500","1987-05-22","6.083","37.633","1290.0","ARBA MINCH, ET","  272",",,Q","  175",",,Q"
"ET000063500","1987-05-23","6.083","37.633","1290.0","ARBA MINCH, ET","  276",",,Q","  185",",,Q"
"ET000063500","1987-05-24","6.083","37.633","1290.0","ARBA MINCH, ET","  275",",,Q","  180",",,Q"
"ET000063500","1987-05-25","6.083","37.633","1290.0","ARBA MINCH, ET","  280",",,Q","  178",",,Q"
"ET000063500","1987-05-26","6.083","37.633","1290.0","ARBA MINCH, ET","  268",",,Q","  172",",,Q"
"ET000063500","1987-05-27","6.083","37.633","1290.0","ARBA MINCH, ET","  270",",,Q","  175",",,Q"
"ET000063500","1987-05-28","6.083","37.633","1290.0","ARBA MINCH, ET","  250",",,Q","  180",",,Q"
"ET000063500","1987-05-29","6.083","37.633","1290.0","ARBA MINCH, ET","  266",",,Q","  185",",,Q"
"ET000063500","1987-05-30","6.083","37.633","1290.0","ARBA MINCH, ET","  267",",,Q","  165",",,Q"
"ET000063500","1987-05-31","6.083","37.633","1290.0","ARBA MINCH, ET","  276",",,Q","  194",",,Q"
"ET000063500","1987-07-08","6.083","37.633","1290.0","ARBA MINCH, ET","  285",",,Q","  190",",,Q"
"ET000063500","1987-07-09","6.083","37.633","1290.0","ARBA MINCH, ET","  289",",,Q","  190",",,Q"
"ET000063500","1987-07-10","6.083","37.633","1290.0","ARBA MINCH, ET","  296",",,Q","  191",",,Q"
"ET000063500","1987-07-11","6.083","37.633","1290.0","ARBA MINCH, ET","  290",",,Q","  206",",,Q"
"ET000063500","1987-07-12","6.083","37.633","1290.0","ARBA MINCH, ET","  290",",,Q","  175",",,Q"
"ET000063500","1987-07-13","6.083","37.633","1290.0","ARBA MINCH, ET","  296",",,Q","  160",",,Q"
"ET000063500","1987-07-14","6.083","37.633","1290.0","ARBA MINCH, ET","  300",",,Q","  155",",,Q"
"ET000063500","1987-07-15","6.083","37.633","1290.0","ARBA MINCH, ET","  294",",,Q","  195",",,Q"
"ET000063500","1987-07-16","6.083","37.633","1290.0","ARBA MINCH, ET","  268",",,Q","  210",",,Q"
"ET000063500","1987-07-17","6.083","37.633","1290.0","ARBA MINCH, ET","  285",",,Q","  200",",,Q"
"ET000063500","1987-07-18","6.083","37.633","1290.0","ARBA MINCH, ET","  281",",,Q","  195",",,Q"
"ET000063500","1987-07-19","6.083","37.633","1290.0","ARBA MINCH, ET","  290",",,Q","  200",",,Q"
"ET000063500","1987-07-20","6.083","37.633","1290.0","ARBA MINCH, ET","  303",",,Q","  197",",,Q"
"ET000063500","1987-07-21","6.083","37.633","1290.0","ARBA MINCH, ET","  304",",,Q","  195",",,Q"
"ET000063500","1987-07-22","6.083","37.633","1290.0","ARBA MINCH, ET","  305",",,Q","  210",",,Q"
"ET000063500","1987-07-23","6.083","37.633","1290.0","ARBA MINCH, ET","  285",",,Q","  185",",,Q"
"ET000063500","1987-07-24","6.083","37.633","1290.0","ARBA MINCH, ET","  280",",,Q","  180",",,Q"
"ET000063500","1987-07-25","6.083","37.633","1290.0","ARBA MINCH, ET","  289",",,Q","  198",",,Q"
"ET000063500","1987-07-26","6.083","37.633","1290.0","ARBA MINCH, ET","  291",",,Q","  195",",,Q"
"ET000063500","1987-07-27","6.083","37.633","1290.0","ARBA MINCH, ET","  276",",,Q","  200",",,Q"
"ET000063500","1987-07-28","6.083","37.633","1290.0","ARBA MINCH, ET","  290",",,Q","  196",",,Q"
"ET000063500","1987-07-29","6.083","37.633","1290.0","ARBA MINCH, ET","  310",",,Q","  204",",,Q"
"ET000063500","1987-07-30","6.083","37.633","1290.0","ARBA MINCH, ET","  300",",,Q","  170",",,Q"
"ET000063500","1987-07-31","6.083","37.633","1290.0","ARBA MINCH, ET","  295",",,Q","  175",",,Q"
"ET000063500","1987-08-01","6.083","37.633","1290.0","ARBA MINCH, ET","  290",",,Q","  186",",,Q"
"ET000063500","1987-08-02","6.083","37.633","1290.0","ARBA MINCH, ET","  290",",,Q","  193",",,Q"
"ET000063500","1987-08-03","6.083","37.633","1290.0","ARBA MINCH, ET","  300",",,Q","  172",",,Q"
"ET000063500","1987-08-04","6.083","37.633","1290.0","ARBA MINCH, ET","  304",",,Q","  210",",,Q"
"ET000063500","1987-08-05","6.083","37.633","1290.0","ARBA MINCH, ET","  313",",,Q","  165",",,Q"
"ET000063500","1987-08-06","6.083","37.633","1290.0","ARBA MINCH, ET","  312",",,Q","  165",",,Q"
"ET000063500","1987-08-07","6.083","37.633","1290.0","ARBA MINCH, ET","  309",",,Q","  210",",,Q"
"ET000063500","1987-08-08","6.083","37.633","1290.0","ARBA MINCH, ET","  306",",,Q","  160",",,Q"
"ET000063500","1987-08-09","6.083","37.633","1290.0","ARBA MINCH, ET","  305",",,Q","  171",",,Q"
"ET000063500","1987-08-10","6.083","37.633","1290.0","ARBA MINCH, ET","  306",",,Q","  160",",,Q"
"ET000063500","1987-08-11","6.083","37.633","1290.0","ARBA MINCH, ET","  284",",,Q","  195",",,Q"
"ET000063500","1987-08-12","6.083","37.633","1290.0","ARBA MINCH, ET","  296",",,Q","  179",",,Q"
"ET000063500","1987-08-13","6.083","37.633","1290.0","ARBA MINCH, ET","  297",",,Q","  191",",,Q"
"ET000063500","1987-08-14","6.083","37.633","1290.0","ARBA MINCH, ET","  287",",,Q","  175",",,Q"
"ET000063500","1987-08-15","6.083","37.633","1290.0","ARBA MINCH, ET","  300",",,Q","  195",",,Q"
"ET000063500","1987-08-16","6.083","37.633","1290.0","ARBA MINCH, ET","  302",",,Q","  202",",,Q"
